Country Code,GDP per capita,Life expectancy
ABW,23384.29879,76.434
AFE,1360.878645,64.32570223
AFG,516.7478708000001,65.173
AFW,1709.764129,58.44595273
AGO,1631.431691,61.486999999999995
ALB,5332.160475,78.686
ARB,5724.28687,72.17075988
ARE,36284.555239999994,78.12
ARG,8585.694742,76.813
ARM,4266.0180740000005,75.22399999999999
ATG,13992.744480000001,77.146
AUS,51680.31652,83.2
AUT,48588.659380000005,81.19268293
AZE,4229.910649,73.123
BDI,233.83751030000002,61.916000000000004
BEL,45189.3669,80.79512195
BEN,1291.040972,62.077
BFA,857.9327297,61.981
BGD,2270.3475350000003,72.868
BGR,10079.203379999999,73.60731707
BHR,20406.502330000003,77.419
BHS,24665.096830000002,74.053
BIH,6082.36673,77.545
BLR,6555.426818,74.22682927
BLZ,3987.796596,74.75399999999999
BMU,107706.0398,82.05609756
BOL,3137.989617,71.771
BRA,6814.875631999999,76.084
BRB,16318.748109999999,79.308
BRN,27442.953830000002,75.998
BTN,3000.777986,72.08
BWA,6348.832318,69.793
CAF,481.7462966,53.678999999999995
CAN,43258.263869999995,81.74878049
CEB,16197.29935,76.1441688
CHE,87100.41482,83.1
CHL,13220.570759999999,80.329
CHN,10408.669759999999,77.097
CIV,2325.723705,58.104
CMR,1537.130218,59.626000000000005
COD,543.9503925,60.971000000000004
COG,1899.7782370000002,64.804
COL,5312.198556,77.46
COM,1407.4092699999999,64.525
CPV,3064.272388,73.166
CRI,12201.92603,80.465
CSS,8857.870922,73.87090598
CUB,9477.852873,78.892
CYP,27681.566410000003,81.135
CZE,22933.49959,78.22682927
DEU,46252.6893,80.94146341
DJI,3219.701128,67.49
DNK,61063.31642999999,81.55121951
DOM,7268.19691,74.257
DZA,3306.8582079999996,77.063
EAP,8270.455138,75.58112440000001
EAR,3253.713456,70.91123941
EAS,11483.59931,76.44497872
ECA,7435.160748,73.10399473
ECS,23981.02201,77.39015129999999
ECU,5627.77228,77.21600000000001
EGY,3569.2068409999997,72.15
EMU,38012.66729,81.53588281
ESP,27056.42175,82.33414634
EST,23054.358490000002,78.34634146
ETH,936.4507576,66.953
EUU,34191.82825,80.46370189
FCS,1624.943028,62.99260208
FIN,49160.83715,82.13170732
FJI,5102.843929,67.561
FRA,39037.12263,82.17560976
FRO,66320.6792,83.09268293
FSM,3542.9697880000003,68.002
GAB,6881.714225,66.69
GBR,41098.07865,80.90243902
GEO,4255.742993,73.919
GHA,2254.153889,64.347
GIN,1078.950006,61.961999999999996
GMB,757.4131116000001,62.383
GNB,727.5201717,58.63399999999999
GNQ,7198.335884,59.056999999999995
GRC,17647.23269,81.08780488
GRD,9273.199292,72.426
GRL,54570.37502000001,71.40463415
GTM,4603.339643,74.529
GUM,34624.340130000004,80.277
GUY,6955.939217,70.023
HIC,43282.423460000005,80.21053064
HKG,46100.97587,85.38780488
HND,2405.732848,75.44800000000001
HPC,975.4742617999999,63.80962796
HRV,14132.48656,77.72439024
HTI,1272.367992,64.315
HUN,16075.973269999999,75.61707317
IBD,6176.40377,73.70172059
IBT,4925.381242,71.388233
IDA,1365.047843,64.80394374
IDB,1740.6038079999998,62.63495007
IDN,3870.5576200000005,71.908
IDX,1175.586605,65.90163156
IND,1933.101069,69.887
IRL,85422.54287,82.20487805
IRN,2756.749977,76.87
IRQ,4583.747494,70.748
ISL,59264.03409,83.06585366
ISR,44177.57122,82.7
ITA,31834.97262,82.34390244
JAM,4664.530242,74.586
JOR,4282.765825,74.655
JPN,39918.16756,84.61560976
KAZ,9121.637138,71.37
KEN,1872.1240260000002,66.991
KGZ,1182.5217,71.8
KHM,1547.5113880000001,70.054
KIR,1514.591059,68.611
KOR,31597.50465,83.42682927
KWT,24811.76971,75.586
LAC,6765.532776000001,75.73687259
LAO,2608.982833,68.219
LBN,3801.792743,79.00399999999999
LBR,601.0630057999999,64.423
LBY,7614.325448999999,73.082
LCA,8804.561089,76.343
LCN,7270.703584000001,75.76242757
LDC,1099.2015609999999,65.62893994
LIC,703.7338455,64.05752956
LKA,3694.040948,77.14399999999999
LMC,2285.711107,69.3303444
LMY,4759.776082,71.3261274
LSO,1050.631634,54.836000000000006
LTE,9699.089375,76.43900573
LTU,20232.302040000002,74.92926829
LUX,116356.15800000001,81.74146341
LVA,17703.95344,75.38780488
MAC,39403.135910000005,84.37
MAR,3058.69165,76.90100000000001
MDA,4525.7596539999995,72.006
MDG,477.6130414,67.39
MDV,6924.105745000001,79.208
MEA,6688.08728,74.44773374
MEX,8431.665017,75.131
MIC,5237.022473,72.18110461
MKD,5846.465899,75.69317073
MLI,862.453012,59.692
MLT,28946.46268,82.65365854
MMR,1450.662673,67.363
MNA,3190.325097,73.96542302
MNE,7694.633759,75.93170732
MNG,4060.950518,70.056
MOZ,448.84389139999996,61.387
MRT,1702.486959,65.12899999999999
MUS,8632.752859,74.17707317
MWI,636.2863096,64.694
MYS,10412.347670000001,76.306
NAC,61000.855260000004,77.74116282
NAM,4157.019506000001,64.045
NCL,34694.5504,77.77117073
NER,567.6698922999999,62.792
NGA,2097.092473,55.018
NIC,1900.0435940000002,74.697
NLD,52396.032210000005,81.4097561
NOR,67329.67779,83.20975609999999
NPL,1147.4719710000002,71.067
NZL,41596.5055,82.05609756
OED,38116.42222,79.70326687
OMN,14485.38612,78.078
OSS,11792.066420000001,69.03198297
PAK,1359.5145220000002,67.428
PAN,12509.83529,78.68
PER,6117.493571,76.947
PHL,3301.2186030000003,71.36
PNG,2757.011019,64.725
POL,15742.453730000001,76.6
PRE,1349.15316,61.4987694
PRI,31429.86612,80.08746341
PRT,22194.56611,80.97560976
PRY,4967.687212,74.363
PSE,3233.5686379999997,74.21300000000001
PSS,3785.5034060000003,70.22750538
PST,44330.3117,80.16436318
PYF,20182.5845,77.836
QAT,50124.38594,80.363
ROU,12956.56625,74.35365854
RUS,10161.98242,71.33878049
RWA,786.3018147999999,69.329
SAS,1875.441391,69.8678468
SAU,20203.66888,75.28
SDN,615.4620972,65.53
SEN,1462.808169,68.21300000000001
SGP,60729.45035,83.74390244
SLB,2250.601164,73.132
SLE,509.37659400000007,55.066
SLV,3798.636521,73.533
SOM,438.25516560000005,57.696999999999996
SRB,7730.6917459999995,74.22926829
SSA,1500.852648,61.94978362
SSF,1501.779422,61.95110854
SST,10787.66873,69.9519871
STP,2157.840446,70.583
SUR,4916.6056659999995,71.80199999999999
SVK,19266.51357,76.86585366
SVN,25489.50023,80.53170732
SWE,52300.2062,82.40731707
SWZ,3434.7217979999996,60.721000000000004
SYC,12193.88687,77.23658537
TCD,652.3492096,54.505
TEA,8361.938147,75.61974318
TEC,8406.890911,73.48326882
TGO,914.9507925,61.34
THA,7158.766684,77.344
TJK,852.8309877999999,71.301
TLA,7062.475590000001,75.68282207
TLS,1442.730738,69.712
TMN,3189.795404,73.96238432
TON,4624.823449,71.018
TSA,1875.441391,69.8678468
TSS,1501.779422,61.95110854
TTO,15285.94049,73.628
TUN,3597.218525,76.891
TUR,8536.43332,77.928
TZA,1076.469727,65.815
UGA,822.0276815000001,63.713
UKR,3751.740723,71.18512195
UMC,9166.460854,75.97697977
URY,15418.81531,78.056
USA,63027.679529999994,77.2804878
UZB,1749.6558149999998,71.848
VCT,7860.821354000001,72.658
VIR,39552.1686,79.81951219999999
VNM,3526.274579,75.493
VUT,2919.8368,70.623
WLD,10936.05747,72.74791908
WSM,4068.078865,73.45
XKX,4310.811183,71.08780488
YEM,631.68149,66.181
ZAF,5655.867654,64.37899999999999
ZMB,985.132436,64.194
ZWE,1214.50982,61.738
